puck_id,x_ofset,y_offset,z_offset
L1a_tile_1310,101427,363420,0
L1a_tile_1311,101427,399762,0
L1a_tile_1312,101427,436104,0
L1a_tile_1313,101427,472446,0
L1a_tile_1314,101427,508788,0
L1a_tile_1315,101427,545130,0
L1a_tile_1316,101427,581472,0
L1a_tile_1317,101427,617814,0
L1a_tile_1318,101427,654156,0
L1a_tile_1319,101427,690498,0
L1a_tile_1320,101427,726840,0
L1a_tile_1321,101427,763182,0
L1a_tile_1322,101427,799524,0
L1a_tile_1323,101427,835866,0
L1a_tile_1324,101427,872208,0
L1a_tile_1325,101427,908550,0
L1a_tile_1326,101427,944892,0
L1a_tile_1327,101427,981234,0
L1a_tile_1328,101427,1017576,0
L1a_tile_1329,101427,1053918,0
L1a_tile_1330,101427,1090260,0
L1a_tile_1331,101427,1126602,0
L1a_tile_1332,101427,1162944,0
L1a_tile_1333,101427,1199286,0
L1a_tile_1334,101427,1235628,0
L1a_tile_1335,101427,1271970,0
L1a_tile_1336,101427,1308312,0
L1a_tile_1337,101427,1344654,0
L1a_tile_1338,101427,1380996,0
L1a_tile_1339,101427,1417338,0
L1a_tile_1340,101427,1453680,0
L1a_tile_1341,101427,1490022,0
L1a_tile_1342,101427,1526364,0
L1a_tile_1343,101427,1562706,0
L1a_tile_1344,101427,1599048,0
L1a_tile_1345,101427,1635390,0
L1a_tile_1346,101427,1671732,0
L1a_tile_1347,101427,1708074,0
L1a_tile_1348,101427,1744416,0
L1a_tile_1349,101427,1780758,0
L1a_tile_1350,101427,1817100,0
L1a_tile_1351,101427,1853442,0
L1a_tile_1352,101427,1889784,0
L1a_tile_1353,101427,1926126,0
L1a_tile_1354,101427,1962468,0
L1a_tile_1355,101427,1998810,0
L1a_tile_1356,101427,2035152,0
L1a_tile_1357,101427,2071494,0
L1a_tile_1358,101427,2107836,0
L1a_tile_1359,101427,2144178,0
L1a_tile_1360,101427,2180520,0
L1a_tile_1361,101427,2216862,0
L1a_tile_1362,101427,2253204,0
L1a_tile_1363,101427,2289546,0
L1a_tile_1364,101427,2325888,0
L1a_tile_1365,101427,2362230,0
L1a_tile_1366,101427,2398572,0
L1a_tile_1367,101427,2434914,0
L1a_tile_1368,101427,2471256,0
L1a_tile_1369,101427,2507598,0
L1a_tile_1370,101427,2543940,0
L1a_tile_1371,101427,2580282,0
L1a_tile_1372,101427,2616624,0
L1a_tile_1373,101427,2652966,0
L1a_tile_1374,101427,2689308,0
L1a_tile_1375,101427,2725650,0
L1a_tile_1376,101427,2761992,0
L1a_tile_1377,101427,2798334,0
L1a_tile_1378,101427,2834676,0
L1a_tile_1401,135236,42543,0
L1a_tile_1402,135236,78885,0
L1a_tile_1403,135236,115227,0
L1a_tile_1404,135236,151569,0
L1a_tile_1405,135236,187911,0
L1a_tile_1406,135236,224253,0
L1a_tile_1407,135236,260595,0
L1a_tile_1408,135236,296937,0
